1.00000000e+1, 1.07490080e+1
1.27147907e+1, 1.07943338e+1
1.44734687e+1, 1.08533127e+1
1.64754025e+1, 1.09712703e+1
1.87542389e+1, 1.11482067e+1
2.13482781e+1, 1.14431008e+1
2.43011184e+1, 1.18053992e+1
2.76623881e+1, 1.21845488e+1
3.14885802e+1, 1.26226771e+1
3.58440016e+1, 1.30523799e+1
4.08018540e+1, 1.35157849e+1
4.64454641e+1, 1.39707643e+1
5.28696841e+1, 1.44594460e+1
6.01824862e+1, 1.49565531e+1
6.85067767e+1, 1.54873625e+1
7.79824621e+1, 1.60434484e+1
8.87688006e+1, 1.66332366e+1
1.01047078e+2, 1.73157057e+1
1.15023657e+2, 1.83604733e+1
1.27885371e+2, 2.00889137e+1
1.37249257e+2, 2.20643430e+1
1.44719432e+2, 2.40013758e+1
1.51700241e+2, 2.59708470e+1
1.59017783e+2, 2.80793396e+1
1.66688299e+2, 3.01183215e+1
1.74728817e+2, 3.21341332e+1
1.83157184e+2, 3.40572639e+1
1.93126027e+2, 3.61889268e+1
2.04840149e+2, 3.83947345e+1
2.17264795e+2, 4.05449336e+1
2.30443062e+2, 4.25283069e+1
2.45864226e+2, 4.45611101e+1
2.65425046e+2, 4.67015998e+1
2.89936784e+2, 4.88282976e+1
3.18582679e+2, 5.09367903e+1
3.50058803e+2, 5.29757722e+1
3.84644782e+2, 5.49915839e+1
4.25144061e+2, 5.71348319e+1
4.72682817e+2, 5.93179843e+1
5.25537261e+2, 6.13981577e+1
5.84301783e+2, 6.34577354e+1
6.53474037e+2, 6.55131940e+1
7.35151574e+2, 6.75892483e+1
8.31922504e+2, 6.95540854e+1
9.46991938e+2, 7.14751097e+1
1.07797749e+3, 7.32023464e+1
1.22708063e+3, 7.47273701e+1
1.39680734e+3, 7.60501807e+1
1.59001023e+3, 7.72213314e+1
1.80993645e+3, 7.82323969e+1
2.06028232e+3, 7.90665258e+1
2.34525540e+3, 7.97911227e+1
2.66964525e+3, 8.03893364e+1
3.03890388e+3, 8.08780180e+1
3.45923744e+3, 8.12824442e+1
3.93771048e+3, 8.16194660e+1
4.48236471e+3, 8.18722323e+1
5.10235415e+3, 8.20912965e+1
5.80809898e+3, 8.22766585e+1
6.61146066e+3, 8.24367439e+1
7.52594131e+3, 8.25968292e+1
8.56691062e+3, 8.27653401e+1
9.75186421e+3, 8.29422766e+1
1.11007176e+4, 8.31613407e+1
1.26361410e+4, 8.34478093e+1
1.43839403e+4, 8.37932566e+1
1.63734909e+4, 8.42650872e+1
1.86382310e+4, 8.48464498e+1
2.12162244e+4, 8.55878977e+1
2.41507993e+4, 8.65147077e+1
2.74912773e+4, 8.75426242e+1
3.12938017e+4, 8.87053494e+1
3.56222819e+4, 8.99860323e+1
4.05494665e+4, 9.14099494e+1
4.61581670e+4, 9.29096964e+1
5.25426488e+4, 9.44768478e+1
5.98102162e+4, 9.60102970e+1
6.80830152e+4, 9.75605973e+1
7.75000871e+4, 9.90013655e+1
8.82197047e+4, 1.00298899e+2
1.00422033e+5, 1.01419497e+2
1.14312156e+5, 1.02321030e+2
1.30123527e+5, 1.03070904e+2
1.48121887e+5, 1.03643841e+2
1.68609735e+5, 1.04048267e+2
1.91931410e+5, 1.04343161e+2
2.18478881e+5, 1.04579076e+2
2.48698332e+5, 1.04756013e+2
2.79783067e+5, 1.04896439e+2
