1.00000000e+1, 1.00003066e+0
1.10886244e+1, 1.00031377e+0
1.26212986e+1, 1.00095713e+0
1.43658197e+1, 1.00169239e+0
1.63514692e+1, 1.00330077e+0
1.86115760e+1, 1.00541464e+0
2.11840757e+1, 1.00826378e+0
2.41121473e+1, 1.01152650e+0
2.74449382e+1, 1.01483517e+0
3.12383889e+1, 1.01777621e+0
3.55561718e+1, 1.01998199e+0
4.04707605e+1, 1.02122274e+0
4.60646457e+1, 1.02122274e+0
5.24317199e+1, 1.02053344e+0
5.96788538e+1, 1.01938459e+0
6.79276895e+1, 1.01864933e+0
7.73166827e+1, 1.01860338e+0
8.80034263e+1, 1.01993604e+0
1.00167296e+2, 1.02310685e+0
1.14012461e+2, 1.02898893e+0
1.27500374e+2, 1.03914472e+0
1.38449654e+2, 1.05093952e+0
1.47708354e+2, 1.06300392e+0
1.58516322e+2, 1.07546790e+0
1.76229001e+2, 1.08408751e+0
2.00587446e+2, 1.08096265e+0
2.25641320e+2, 1.07087835e+0
2.53824484e+2, 1.06000773e+0
2.88908209e+2, 1.05100079e+0
3.28841220e+2, 1.04452131e+0
3.74293789e+2, 1.03932853e+0
4.26028830e+2, 1.03477911e+0
4.84914710e+2, 1.03087304e+0
5.51939820e+2, 1.02756436e+0
6.28229169e+2, 1.02485309e+0
7.15063263e+2, 1.02232563e+0
8.13899602e+2, 1.02025771e+0
9.26397139e+2, 1.01832765e+0
1.05444413e+3, 1.01662736e+0
1.20018983e+3, 1.01478921e+0
1.36608057e+3, 1.01322678e+0
1.55490078e+3, 1.01166436e+0
1.76981981e+3, 1.01028574e+0
2.01444503e+3, 1.00881522e+0
2.29288245e+3, 1.00752852e+0
2.60980561e+3, 1.00642563e+0
2.97053401e+3, 1.00518487e+0
3.38112244e+3, 1.00431175e+0
3.84846258e+3, 1.00339268e+0
4.38039865e+3, 1.00261146e+0
4.98585916e+3, 1.00206002e+0
5.67500666e+3, 1.00137071e+0
6.45940841e+3, 1.00118689e+0
7.35223050e+3, 1.00068140e+0
8.36845882e+3, 1.00063545e+0
9.52515064e+3, 1.00063545e+0
1.08417209e+4, 1.00078863e+0
1.23402680e+4, 1.00118689e+0
1.40459449e+4, 1.00141666e+0
1.59873812e+4, 1.00201406e+0
1.81971636e+4, 1.00279528e+0
2.07123830e+4, 1.00371435e+0
2.35752571e+4, 1.00467938e+0
2.68338388e+4, 1.00573632e+0
3.05428231e+4, 1.00674730e+0
3.47644647e+4, 1.00762042e+0
3.95696232e+4, 1.00830973e+0
4.50389528e+4, 1.00881522e+0
5.12642554e+4, 1.00881522e+0
5.83500219e+4, 1.00881522e+0
6.64151859e+4, 1.00867736e+0
7.55951202e+4, 1.00826378e+0
8.60439088e+4, 1.00771233e+0
9.79369332e+4, 1.00720684e+0
1.11473816e+5, 1.00628776e+0
1.26881773e+5, 1.00550655e+0
1.44419424e+5, 1.00458747e+0
1.64381136e+5, 1.00362245e+0
1.87101964e+5, 1.00279528e+0
2.12963275e+5, 1.00183025e+0
2.42399146e+5, 1.00091117e+0
2.75903656e+5, 9.99701056e-1
